#YY,MM,DD,hh,mm,WDIR,WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2021,1,1,0,0,71,8.4,10.2,99,99,99,999,1013.9,24.6,25.3,21.7,99,99
2021,1,1,0,10,70,8.4,10.5,99,99,99,999,1013.6,24.6,25.3,21.6,99,99
2021,1,1,0,20,72,8.4,10.5,99,99,99,999,1013.4,24.6,25.3,21.7,99,99
2021,1,1,0,30,75,8.9,11.2,99,99,99,999,1013.3,24.5,25.3,21.5,99,99
2021,1,1,0,40,70,8.7,10.8,3.3,14.81,7.8,345,1013.1,24.5,25.3,21.4,99,99
2021,1,1,0,50,70,9.5,11.5,99,99,99,999,1013,24.5,25.3,21,99,99
2021,1,1,1,0,74,8.9,11.5,99,99,99,999,1013.4,24.6,25.3,21.2,99,99
2021,1,1,1,10,72,8.4,11,99,99,99,999,1013.5,24.6,25.3,21.4,99,99
2021,1,1,1,20,70,8.1,10.5,99,99,99,999,1013.6,24.6,25.3,21.4,99,99
2021,1,1,1,30,73,7.9,9.9,99,99,99,999,1013.9,24.6,25.3,21.4,99,99
2021,1,1,1,40,76,8,9.7,3.32,9.09,7.74,86,1013.8,24.6,25.3,21.2,99,99
2021,1,1,1,50,75,7.7,9.7,99,99,99,999,1014,24.7,25.3,21.2,99,99
2021,1,1,2,0,64,7.3,9.2,99,99,99,999,1014.2,24.7,25.3,21.7,99,99
2021,1,1,2,10,62,7.9,10.3,99,99,99,999,1014.3,24.5,25.3,21.8,99,99
2021,1,1,2,20,65,8,9.8,99,99,99,999,1014.5,24.6,25.3,21.5,99,99
2021,1,1,2,30,60,7.5,9.3,99,99,99,999,1014.5,24.7,25.3,21.6,99,99
2021,1,1,2,40,58,7.9,11,3.27,14.81,7.88,336,1014.7,24.2,25.3,21.4,99,99
2021,1,1,2,50,53,7.7,10.5,99,99,99,999,1014.8,24.3,25.3,21.8,99,99
2021,1,1,3,0,47,8.4,11.1,99,99,99,999,1014.9,24.2,25.3,20.7,99,99
2021,1,1,3,10,46,7.7,9.5,99,99,99,999,1014.9,24.6,25.3,21.4,99,99
2021,1,1,3,20,44,8.3,10.2,99,99,99,999,1014.8,24.3,25.3,21.4,99,99
2021,1,1,3,30,44,8.3,10.7,99,99,99,999,1014.7,24.6,25.3,21.6,99,99
2021,1,1,3,40,53,9.2,11.5,3.06,10,7.69,82,1014.8,24.4,25.3,21.7,99,99
2021,1,1,3,50,51,8.5,10.8,99,99,99,999,1014.9,24.4,25.3,21.5,99,99
2021,1,1,4,0,47,8.6,10.7,99,99,99,999,1015.1,24.5,25.3,21.8,99,99
2021,1,1,4,10,50,8.5,10.5,99,99,99,999,1015.1,24.5,25.3,21.6,99,99
2021,1,1,4,20,49,8.1,10.3,99,99,99,999,1015.2,24.6,25.3,21.8,99,99
2021,1,1,4,30,62,8.1,10.3,99,99,99,999,1015.3,24.5,25.3,21.7,99,99
2021,1,1,4,40,46,8,10.3,3.08,9.09,7.47,88,1015.5,24,25.3,21.7,99,99
2021,1,1,4,50,48,9,11.6,99,99,99,999,1015.6,23.8,25.3,21.9,99,99
2021,1,1,5,0,56,9.8,11.6,99,99,99,999,1015.7,23.6,25.3,21.2,99,99
2021,1,1,5,10,50,9.1,11.1,99,99,99,999,1015.7,23.5,25.3,21.3,99,99
2021,1,1,5,20,54,7.7,9.7,99,99,99,999,1015.8,23.6,25.3,21.7,99,99
2021,1,1,5,30,55,7.9,10.1,99,99,99,999,1015.8,24.1,25.3,21.9,99,99
2021,1,1,5,40,56,9.9,12.4,3.04,9.09,7.35,84,1015.9,24.2,25.3,22,99,99
2021,1,1,5,50,53,9,11.3,99,99,99,999,1016.1,23.7,25.3,21.2,99,99
2021,1,1,6,0,55,8.4,10.4,99,99,99,999,1016.1,24.1,25.3,21.4,99,99
2021,1,1,6,10,57,8.7,10.8,99,99,99,999,1016.2,24.2,25.3,21.6,99,99
2021,1,1,6,20,56,9,11.3,99,99,99,999,1016.1,24.3,25.3,21.6,99,99
2021,1,1,6,30,53,8.9,11,99,99,99,999,1016,24.3,25.3,21.7,99,99
2021,1,1,6,40,53,9.2,10.9,3.15,14.81,7.47,341,1016.1,24.3,25.3,22,99,99
2021,1,1,6,50,55,9,11.1,99,99,99,999,1016.2,24.2,25.3,21.9,99,99
2021,1,1,7,0,59,9.3,11.1,99,99,99,999,1016,24.2,25.3,21.8,99,99
2021,1,1,7,10,60,8.8,10.8,99,99,99,999,1016,24.2,25.3,21.9,99,99
2021,1,1,7,20,55,8.6,10.6,99,99,99,999,1016,24.1,25.3,22,99,99
2021,1,1,7,30,63,8.6,10.4,99,99,99,999,1016.2,24.2,25.3,22,99,99
2021,1,1,7,40,61,9,11.4,2.86,9.09,7.38,88,1016.1,24.1,25.3,21.9,99,99
2021,1,1,7,50,64,9.3,10.9,99,99,99,999,1016.2,24.4,25.3,21.9,99,99
